,tickers,best_value,best_param
0,KRW-BTC,2.331486191786771,"{'r1': 18, 'ad': 16, 'limad': 25, 'wmean': 5}"
1,KRW-ETH,2.9533893169500223,"{'r1': 7, 'ad': 26, 'limad': 16, 'wmean': 4}"
2,KRW-NEO,2.0661980499541346,"{'r1': 19, 'ad': 14, 'limad': 2, 'wmean': 4}"
3,KRW-MTL,2.0984634687222923,"{'r1': 2, 'ad': 9, 'limad': 22, 'wmean': 4}"
4,KRW-XRP,1.587623548734291,"{'r1': 20, 'ad': 6, 'limad': 14, 'wmean': 5}"
5,KRW-ETC,4.030106876178297,"{'r1': 2, 'ad': 3, 'limad': 51, 'wmean': 8}"
6,KRW-SNT,1.994204429572837,"{'r1': 22, 'ad': 13, 'limad': 35, 'wmean': 8}"
7,KRW-WAVES,6.09632567914524,"{'r1': 17, 'ad': 14, 'limad': 12, 'wmean': 4}"
8,KRW-XEM,1.087441926471436,"{'r1': 4, 'ad': 4, 'limad': 76, 'wmean': 7}"
9,KRW-QTUM,1.5870734281170702,"{'r1': 29, 'ad': 2, 'limad': 85, 'wmean': 10}"
10,KRW-LSK,1.868344399011274,"{'r1': 15, 'ad': 9, 'limad': 57, 'wmean': 8}"
11,KRW-STEEM,1.8867915245140456,"{'r1': 4, 'ad': 4, 'limad': 25, 'wmean': 9}"
12,KRW-XLM,1.8623570810338594,"{'r1': 14, 'ad': 5, 'limad': 55, 'wmean': 5}"
13,KRW-ARDR,3.169869281600361,"{'r1': 3, 'ad': 3, 'limad': 6, 'wmean': 10}"
14,KRW-ARK,5.593102435747965,"{'r1': 8, 'ad': 27, 'limad': 7, 'wmean': 6}"
15,KRW-STORJ,6.48295452329549,"{'r1': 8, 'ad': 8, 'limad': 26, 'wmean': 8}"
16,KRW-GRS,1.3768661671321103,"{'r1': 4, 'ad': 5, 'limad': 78, 'wmean': 10}"
17,KRW-ADA,2.3790600279775522,"{'r1': 10, 'ad': 22, 'limad': 24, 'wmean': 5}"
18,KRW-SBD,1.1633551768048354,"{'r1': 22, 'ad': 28, 'limad': 42, 'wmean': 7}"
19,KRW-POWR,1.9729906659799734,"{'r1': 17, 'ad': 15, 'limad': 41, 'wmean': 5}"
20,KRW-BTG,2.066648897054755,"{'r1': 9, 'ad': 4, 'limad': 28, 'wmean': 9}"
21,KRW-ICX,2.3667060389060346,"{'r1': 4, 'ad': 28, 'limad': 20, 'wmean': 5}"
22,KRW-EOS,1.4146023192954127,"{'r1': 20, 'ad': 5, 'limad': 22, 'wmean': 5}"
23,KRW-TRX,1.4508798415857087,"{'r1': 23, 'ad': 27, 'limad': 13, 'wmean': 8}"
24,KRW-SC,3.2421028234144464,"{'r1': 2, 'ad': 29, 'limad': 8, 'wmean': 10}"
25,KRW-ONT,1.617005705947351,"{'r1': 11, 'ad': 11, 'limad': 19, 'wmean': 4}"
26,KRW-ZIL,4.20439845507076,"{'r1': 8, 'ad': 28, 'limad': 21, 'wmean': 6}"
27,KRW-POLYX,2.540964708400729,"{'r1': 2, 'ad': 9, 'limad': 14, 'wmean': 7}"
28,KRW-ZRX,1.9586673261201455,"{'r1': 18, 'ad': 11, 'limad': 23, 'wmean': 5}"
29,KRW-LOOM,6.069797874130861,"{'r1': 21, 'ad': 8, 'limad': 7, 'wmean': 9}"
30,KRW-BCH,2.854567413699399,"{'r1': 7, 'ad': 15, 'limad': 11, 'wmean': 10}"
31,KRW-BAT,1.5279012030528174,"{'r1': 14, 'ad': 8, 'limad': 35, 'wmean': 7}"
