,tickers,best_value,best_param
0,KRW-BTC,3.1825403830227956,"{'r1': 7, 'ad': 20, 'limad': 5, 'wmean': 10, 'mc_ratio': 1.15}"
1,KRW-ETH,2.9652236699847347,"{'r1': 8, 'ad': 30, 'limad': 15, 'wmean': 12, 'mc_ratio': 1.53}"
2,KRW-NEO,3.0055106536946297,"{'r1': 15, 'ad': 10, 'limad': 5, 'wmean': 6, 'mc_ratio': 1.1400000000000001}"
3,KRW-MTL,3.4016494473323213,"{'r1': 12, 'ad': 11, 'limad': 16, 'wmean': 9, 'mc_ratio': 1.08}"
4,KRW-XRP,2.065039086430782,"{'r1': 10, 'ad': 26, 'limad': 19, 'wmean': 3, 'mc_ratio': 1.07}"
5,KRW-ETC,2.301179205369048,"{'r1': 6, 'ad': 26, 'limad': 8, 'wmean': 12, 'mc_ratio': 1.08}"
6,KRW-SNT,4.2356873359831315,"{'r1': 13, 'ad': 18, 'limad': 10, 'wmean': 11, 'mc_ratio': 1.08}"
7,KRW-WAVES,3.3934351237341924,"{'r1': 12, 'ad': 30, 'limad': 3, 'wmean': 8, 'mc_ratio': 1.1400000000000001}"
8,KRW-XEM,3.236076940068693,"{'r1': 9, 'ad': 24, 'limad': 11, 'wmean': 11, 'mc_ratio': 1.16}"
9,KRW-QTUM,2.675100140196337,"{'r1': 10, 'ad': 20, 'limad': 6, 'wmean': 3, 'mc_ratio': 1.04}"
10,KRW-LSK,3.102694321571764,"{'r1': 12, 'ad': 30, 'limad': 19, 'wmean': 5, 'mc_ratio': 1.11}"
11,KRW-STEEM,2.4980129603175394,"{'r1': 10, 'ad': 6, 'limad': 12, 'wmean': 4, 'mc_ratio': 1.05}"
12,KRW-XLM,1.9141426053216712,"{'r1': 12, 'ad': 29, 'limad': 10, 'wmean': 8, 'mc_ratio': 1.13}"
13,KRW-ARDR,5.511880756432664,"{'r1': 11, 'ad': 28, 'limad': 7, 'wmean': 5, 'mc_ratio': 1.1}"
14,KRW-ARK,16.20918159481155,"{'r1': 8, 'ad': 29, 'limad': 14, 'wmean': 6, 'mc_ratio': 1.38}"
15,KRW-STORJ,6.853700177665872,"{'r1': 7, 'ad': 29, 'limad': 5, 'wmean': 10, 'mc_ratio': 1.47}"
16,KRW-GRS,2.1862733717594898,"{'r1': 13, 'ad': 10, 'limad': 20, 'wmean': 4, 'mc_ratio': 1.04}"
17,KRW-ADA,3.0981912608722313,"{'r1': 8, 'ad': 22, 'limad': 12, 'wmean': 3, 'mc_ratio': 1.11}"
18,KRW-SBD,2.0346153196484633,"{'r1': 13, 'ad': 14, 'limad': 7, 'wmean': 3, 'mc_ratio': 1.11}"
19,KRW-POWR,5.284229321975151,"{'r1': 15, 'ad': 20, 'limad': 9, 'wmean': 3, 'mc_ratio': 1.16}"
20,KRW-BTG,3.699967894715694,"{'r1': 7, 'ad': 8, 'limad': 18, 'wmean': 5, 'mc_ratio': 1.28}"
21,KRW-ICX,1.9754214964596353,"{'r1': 12, 'ad': 20, 'limad': 4, 'wmean': 6, 'mc_ratio': 1.04}"
22,KRW-EOS,1.6114033268123558,"{'r1': 15, 'ad': 23, 'limad': 13, 'wmean': 3, 'mc_ratio': 1.08}"
23,KRW-TRX,2.206480677370785,"{'r1': 9, 'ad': 14, 'limad': 5, 'wmean': 12, 'mc_ratio': 1.04}"
24,KRW-SC,6.0113899875644785,"{'r1': 10, 'ad': 7, 'limad': 10, 'wmean': 10, 'mc_ratio': 1.29}"
25,KRW-ONT,2.9334634823746,"{'r1': 5, 'ad': 21, 'limad': 14, 'wmean': 12, 'mc_ratio': 1.15}"
26,KRW-ZIL,2.0338430669045184,"{'r1': 10, 'ad': 28, 'limad': 3, 'wmean': 5, 'mc_ratio': 1.07}"
27,KRW-POLYX,6.917894506937066,"{'r1': 15, 'ad': 13, 'limad': 7, 'wmean': 8, 'mc_ratio': 1.4100000000000001}"
28,KRW-ZRX,5.087553446679589,"{'r1': 14, 'ad': 15, 'limad': 5, 'wmean': 5, 'mc_ratio': 1.53}"
29,KRW-LOOM,6.043857878002689,"{'r1': 12, 'ad': 17, 'limad': 15, 'wmean': 8, 'mc_ratio': 1.37}"
