,tickers,best_value,best_param
0,005930,1.031630193051636,"{'r1': 3, 'ad': 10, 'limad': 46, 'wmean': 5}"
1,000660,1.1519328027952216,"{'r1': 18, 'ad': 3, 'limad': 69, 'wmean': 7}"
2,373220,,
3,207940,1.0657838200207486,"{'r1': 28, 'ad': 2, 'limad': 89, 'wmean': 4}"
4,005935,1.0749557635676172,"{'r1': 19, 'ad': 24, 'limad': 29, 'wmean': 5}"
5,068270,1.8121293095065214,"{'r1': 23, 'ad': 11, 'limad': 16, 'wmean': 7}"
6,005380,1.0713687585597758,"{'r1': 29, 'ad': 2, 'limad': 87, 'wmean': 9}"
7,000270,1.2590164160893642,"{'r1': 20, 'ad': 24, 'limad': 18, 'wmean': 8}"
8,035420,1.2094958041157273,"{'r1': 8, 'ad': 30, 'limad': 9, 'wmean': 9}"
9,005490,2.038256990876221,"{'r1': 3, 'ad': 2, 'limad': 48, 'wmean': 10}"
10,051910,1.0530049086825903,"{'r1': 3, 'ad': 7, 'limad': 50, 'wmean': 4}"
11,035720,1.6295173728842778,"{'r1': 10, 'ad': 22, 'limad': 22, 'wmean': 6}"
12,006400,1.463958468133366,"{'r1': 3, 'ad': 10, 'limad': 23, 'wmean': 6}"
13,247540,,
14,028260,1.1603792910458628,"{'r1': 19, 'ad': 7, 'limad': 35, 'wmean': 5}"
15,105560,1.0416038658961062,"{'r1': 16, 'ad': 20, 'limad': 26, 'wmean': 5}"
16,003670,3.72377584361976,"{'r1': 14, 'ad': 21, 'limad': 18, 'wmean': 9}"
17,055550,1.1840392612171249,"{'r1': 9, 'ad': 4, 'limad': 51, 'wmean': 7}"
18,012330,1.0333333333333334,"{'r1': 12, 'ad': 27, 'limad': 30, 'wmean': 8}"
19,066570,1.1103637801433737,"{'r1': 9, 'ad': 5, 'limad': 57, 'wmean': 9}"
20,086520,6.916186776553875,"{'r1': 29, 'ad': 20, 'limad': 11, 'wmean': 9}"
21,323410,,
22,011200,1.2350375335475623,"{'r1': 3, 'ad': 13, 'limad': 35, 'wmean': 6}"
23,086790,1.1832870949467764,"{'r1': 6, 'ad': 2, 'limad': 93, 'wmean': 6}"
24,138040,1.8321333599375493,"{'r1': 4, 'ad': 10, 'limad': 15, 'wmean': 5}"
25,032830,1.1301482484280143,"{'r1': 2, 'ad': 25, 'limad': 21, 'wmean': 4}"
26,018260,1.320400385663321,"{'r1': 15, 'ad': 21, 'limad': 15, 'wmean': 4}"
27,015760,1.206750588336031,"{'r1': 7, 'ad': 22, 'limad': 25, 'wmean': 4}"
28,033780,1.2206146178491801,"{'r1': 30, 'ad': 9, 'limad': 20, 'wmean': 10}"
29,034730,1.1426678372931909,"{'r1': 2, 'ad': 19, 'limad': 11, 'wmean': 4}"
30,096770,1.6515167872033492,"{'r1': 2, 'ad': 8, 'limad': 17, 'wmean': 8}"
31,003550,1.0241286863270775,"{'r1': 18, 'ad': 27, 'limad': 20, 'wmean': 8}"
32,000810,1.258139630277085,"{'r1': 7, 'ad': 2, 'limad': 72, 'wmean': 10}"
33,450080,,
34,017670,1.0729716746930946,"{'r1': 3, 'ad': 6, 'limad': 53, 'wmean': 4}"
35,329180,,
36,009150,1.039568345323741,"{'r1': 30, 'ad': 29, 'limad': 21, 'wmean': 9}"
37,259960,,
38,316140,,
39,034020,1.4427721942291047,"{'r1': 5, 'ad': 14, 'limad': 9, 'wmean': 7}"
40,010130,1.6697930378841979,"{'r1': 4, 'ad': 25, 'limad': 12, 'wmean': 9}"
41,024110,1.1309904253955576,"{'r1': 7, 'ad': 11, 'limad': 33, 'wmean': 5}"
42,352820,,
43,047050,3.266942535523217,"{'r1': 21, 'ad': 4, 'limad': 23, 'wmean': 10}"
44,030200,1.133480505620678,"{'r1': 26, 'ad': 7, 'limad': 34, 'wmean': 7}"
45,022100,6.079056370034027,"{'r1': 12, 'ad': 4, 'limad': 33, 'wmean': 5}"
46,028300,1.8287186565482296,"{'r1': 3, 'ad': 6, 'limad': 37, 'wmean': 10}"
47,003490,1.173683799795634,"{'r1': 6, 'ad': 7, 'limad': 26, 'wmean': 10}"
48,009540,1.7039650705844307,"{'r1': 20, 'ad': 9, 'limad': 26, 'wmean': 4}"
49,090430,1.494089030758191,"{'r1': 27, 'ad': 10, 'limad': 29, 'wmean': 4}"
50,010950,1.425080985139699,"{'r1': 2, 'ad': 4, 'limad': 6, 'wmean': 5}"
51,012450,3.2226383074775584,"{'r1': 4, 'ad': 18, 'limad': 5, 'wmean': 4}"
52,377300,,
53,402340,,
54,326030,,
55,042660,1.9866451086200052,"{'r1': 27, 'ad': 30, 'limad': 13, 'wmean': 4}"
56,010140,1.5939075349227536,"{'r1': 8, 'ad': 16, 'limad': 12, 'wmean': 9}"
57,086280,1.0563008209565738,"{'r1': 7, 'ad': 6, 'limad': 30, 'wmean': 10}"
58,161390,1.44775307852672,"{'r1': 11, 'ad': 3, 'limad': 54, 'wmean': 5}"
59,011170,1.3747315556527016,"{'r1': 4, 'ad': 6, 'limad': 27, 'wmean': 10}"
60,005830,1.2530109875690538,"{'r1': 11, 'ad': 4, 'limad': 61, 'wmean': 9}"
61,066970,1.4333447113772915,"{'r1': 14, 'ad': 28, 'limad': 16, 'wmean': 8}"
62,042700,2.824822237988466,"{'r1': 2, 'ad': 18, 'limad': 19, 'wmean': 5}"
63,361610,,
64,009830,1.3192065713643444,"{'r1': 26, 'ad': 14, 'limad': 2, 'wmean': 4}"
65,088980,1.2932594165267617,"{'r1': 8, 'ad': 28, 'limad': 2, 'wmean': 4}"
66,267250,1.8118355576004685,"{'r1': 2, 'ad': 2, 'limad': 34, 'wmean': 5}"
