,tickers,best_value,best_param
0,MMM,1.323959474292383,"{'r1': 10, 'ad': 22, 'limad': 22, 'wmean': 9}"
1,AOS,1.0552550491561286,"{'r1': 16, 'ad': 14, 'limad': 37, 'wmean': 4}"
2,ABT,1.282919147818153,"{'r1': 26, 'ad': 21, 'limad': 15, 'wmean': 9}"
3,ABBV,1.41519366533207,"{'r1': 12, 'ad': 2, 'limad': 41, 'wmean': 10}"
4,ACN,1.571930944844383,"{'r1': 30, 'ad': 3, 'limad': 27, 'wmean': 6}"
5,ADBE,1.3718320587425004,"{'r1': 10, 'ad': 5, 'limad': 16, 'wmean': 7}"
6,AMD,2.100184095084784,"{'r1': 17, 'ad': 15, 'limad': 5, 'wmean': 10}"
7,AES,2.1971576365622476,"{'r1': 10, 'ad': 11, 'limad': 13, 'wmean': 10}"
8,AFL,1.4095091667022916,"{'r1': 2, 'ad': 3, 'limad': 8, 'wmean': 5}"
9,A,1.2721340327907442,"{'r1': 29, 'ad': 21, 'limad': 20, 'wmean': 7}"
10,APD,1.2776564066842941,"{'r1': 15, 'ad': 14, 'limad': 23, 'wmean': 10}"
11,ABNB,2.100519868310003,"{'r1': 6, 'ad': 11, 'limad': 18, 'wmean': 8}"
12,AKAM,1.8522965553034751,"{'r1': 2, 'ad': 16, 'limad': 12, 'wmean': 6}"
13,ALB,1.5099757045843791,"{'r1': 21, 'ad': 22, 'limad': 10, 'wmean': 4}"
14,ARE,1.4363805990757683,"{'r1': 3, 'ad': 17, 'limad': 18, 'wmean': 6}"
15,ALGN,1.8040279043018173,"{'r1': 25, 'ad': 9, 'limad': 21, 'wmean': 4}"
16,ALLE,1.2542378328130106,"{'r1': 30, 'ad': 27, 'limad': 8, 'wmean': 6}"
17,LNT,1.249373763563318,"{'r1': 4, 'ad': 25, 'limad': 13, 'wmean': 4}"
18,ALL,1.507585840008183,"{'r1': 6, 'ad': 3, 'limad': 4, 'wmean': 9}"
19,GOOGL,1.0,"{'r1': 8, 'ad': 19, 'limad': 60, 'wmean': 10}"
20,GOOG,1.5225297647828946,"{'r1': 4, 'ad': 2, 'limad': 59, 'wmean': 7}"
21,MO,1.2549782096918023,"{'r1': 2, 'ad': 24, 'limad': 10, 'wmean': 7}"
22,AMZN,1.517021533772983,"{'r1': 8, 'ad': 20, 'limad': 6, 'wmean': 5}"
23,AMCR,1.0381144063759518,"{'r1': 8, 'ad': 16, 'limad': 33, 'wmean': 8}"
24,AEE,1.3058692092671913,"{'r1': 8, 'ad': 28, 'limad': 13, 'wmean': 10}"
25,AAL,1.3743931779801284,"{'r1': 19, 'ad': 3, 'limad': 61, 'wmean': 8}"
26,AEP,1.211216414381301,"{'r1': 5, 'ad': 16, 'limad': 21, 'wmean': 10}"
27,AXP,1.5713514959542525,"{'r1': 7, 'ad': 8, 'limad': 19, 'wmean': 9}"
28,AIG,1.2745869586025382,"{'r1': 23, 'ad': 4, 'limad': 19, 'wmean': 9}"
29,AMT,1.5171107421671526,"{'r1': 9, 'ad': 28, 'limad': 14, 'wmean': 4}"
30,AWK,1.3533969649235589,"{'r1': 5, 'ad': 27, 'limad': 20, 'wmean': 7}"
31,AMP,1.5036318586959139,"{'r1': 7, 'ad': 20, 'limad': 6, 'wmean': 8}"
32,AME,1.159765363165733,"{'r1': 12, 'ad': 2, 'limad': 27, 'wmean': 9}"
33,AMGN,1.7463785236432698,"{'r1': 4, 'ad': 18, 'limad': 13, 'wmean': 4}"
34,APH,1.3111319829463826,"{'r1': 28, 'ad': 2, 'limad': 43, 'wmean': 5}"
35,ADI,1.2356476106295813,"{'r1': 2, 'ad': 11, 'limad': 28, 'wmean': 8}"
36,ANSS,1.3051445960004475,"{'r1': 2, 'ad': 5, 'limad': 46, 'wmean': 6}"
37,AON,1.3797467917920507,"{'r1': 7, 'ad': 23, 'limad': 9, 'wmean': 9}"
38,APA,1.960211714009577,"{'r1': 3, 'ad': 9, 'limad': 19, 'wmean': 9}"
39,AAPL,1.4054068738705103,"{'r1': 8, 'ad': 3, 'limad': 37, 'wmean': 9}"
40,AMAT,1.5498115126093908,"{'r1': 24, 'ad': 3, 'limad': 43, 'wmean': 7}"
41,APTV,1.6239351412870988,"{'r1': 3, 'ad': 21, 'limad': 2, 'wmean': 7}"
42,ACGL,1.4510749151652003,"{'r1': 4, 'ad': 9, 'limad': 4, 'wmean': 6}"
43,ADM,1.4256426109440972,"{'r1': 4, 'ad': 3, 'limad': 46, 'wmean': 10}"
44,ANET,1.497626800332034,"{'r1': 29, 'ad': 2, 'limad': 22, 'wmean': 5}"
45,AJG,1.390146384579941,"{'r1': 11, 'ad': 8, 'limad': 18, 'wmean': 9}"
46,AIZ,1.1817803922317511,"{'r1': 30, 'ad': 30, 'limad': 3, 'wmean': 8}"
47,T,1.5507077018302096,"{'r1': 27, 'ad': 8, 'limad': 18, 'wmean': 6}"
48,ATO,1.2412821622232513,"{'r1': 5, 'ad': 28, 'limad': 8, 'wmean': 10}"
49,ADSK,1.1858950896801617,"{'r1': 14, 'ad': 9, 'limad': 33, 'wmean': 8}"
50,ADP,1.344953051734169,"{'r1': 8, 'ad': 10, 'limad': 27, 'wmean': 9}"
51,AZO,1.4396177564729067,"{'r1': 15, 'ad': 4, 'limad': 23, 'wmean': 4}"
52,AVB,1.2152659507856913,"{'r1': 28, 'ad': 13, 'limad': 15, 'wmean': 7}"
53,AVY,1.1822557973237446,"{'r1': 28, 'ad': 5, 'limad': 29, 'wmean': 9}"
54,AXON,2.145882465749404,"{'r1': 15, 'ad': 20, 'limad': 2, 'wmean': 9}"
