,tickers,best_value,best_param
0,MMM,1.571348211357366,"{'r1': 13, 'ad': 13, 'limad': 19, 'wmean': 4, 'mc_ratio': 1.05}"
1,AOS,1.3293742623085203,"{'r1': 6, 'ad': 26, 'limad': 3, 'wmean': 6, 'mc_ratio': 1.45}"
2,ABT,1.4352037594086364,"{'r1': 12, 'ad': 30, 'limad': 11, 'wmean': 11, 'mc_ratio': 1.05}"
3,ABBV,1.6193977416832177,"{'r1': 14, 'ad': 24, 'limad': 4, 'wmean': 11, 'mc_ratio': 1.04}"
4,ACN,1.4427433375190057,"{'r1': 9, 'ad': 19, 'limad': 12, 'wmean': 5, 'mc_ratio': 1.5}"
5,ADBE,1.539064598484859,"{'r1': 6, 'ad': 15, 'limad': 6, 'wmean': 8, 'mc_ratio': 1.08}"
6,AMD,1.6721463408449375,"{'r1': 6, 'ad': 12, 'limad': 14, 'wmean': 3, 'mc_ratio': 1.17}"
7,AES,1.8927355102658878,"{'r1': 7, 'ad': 15, 'limad': 13, 'wmean': 8, 'mc_ratio': 1.1}"
8,AFL,1.409585133333638,"{'r1': 6, 'ad': 12, 'limad': 12, 'wmean': 9, 'mc_ratio': 1.03}"
9,A,1.3042780201679953,"{'r1': 8, 'ad': 22, 'limad': 20, 'wmean': 6, 'mc_ratio': 1.1}"
10,APD,1.4529250691418392,"{'r1': 5, 'ad': 11, 'limad': 7, 'wmean': 7, 'mc_ratio': 1.02}"
11,ABNB,1.4207564261860226,"{'r1': 15, 'ad': 26, 'limad': 13, 'wmean': 5, 'mc_ratio': 1.04}"
12,AKAM,1.402948005317754,"{'r1': 13, 'ad': 26, 'limad': 5, 'wmean': 7, 'mc_ratio': 1.03}"
13,ALB,1.4847551887065438,"{'r1': 6, 'ad': 30, 'limad': 16, 'wmean': 9, 'mc_ratio': 1.44}"
14,ARE,1.1768046297797274,"{'r1': 10, 'ad': 25, 'limad': 4, 'wmean': 5, 'mc_ratio': 1.47}"
15,ALGN,1.737965444012642,"{'r1': 6, 'ad': 9, 'limad': 3, 'wmean': 4, 'mc_ratio': 1.06}"
16,ALLE,1.3568384451387199,"{'r1': 14, 'ad': 16, 'limad': 3, 'wmean': 3, 'mc_ratio': 1.3900000000000001}"
17,LNT,1.201583327637236,"{'r1': 5, 'ad': 28, 'limad': 13, 'wmean': 6, 'mc_ratio': 1.03}"
18,ALL,1.44749296192674,"{'r1': 15, 'ad': 8, 'limad': 3, 'wmean': 7, 'mc_ratio': 1.05}"
19,GOOGL,1.3021300251418477,"{'r1': 11, 'ad': 6, 'limad': 2, 'wmean': 4, 'mc_ratio': 1.06}"
20,GOOG,1.3340106339556488,"{'r1': 5, 'ad': 23, 'limad': 2, 'wmean': 4, 'mc_ratio': 1.17}"
21,MO,1.338019446436622,"{'r1': 5, 'ad': 22, 'limad': 11, 'wmean': 3, 'mc_ratio': 1.46}"
22,AMZN,1.2545501156217573,"{'r1': 5, 'ad': 7, 'limad': 10, 'wmean': 8, 'mc_ratio': 1.05}"
23,AMCR,1.111778387392089,"{'r1': 5, 'ad': 14, 'limad': 18, 'wmean': 9, 'mc_ratio': 1.12}"
24,AMTM,,
25,AEE,1.216102531831131,"{'r1': 15, 'ad': 23, 'limad': 15, 'wmean': 6, 'mc_ratio': 1.33}"
26,AEP,1.3333420963854083,"{'r1': 10, 'ad': 26, 'limad': 12, 'wmean': 10, 'mc_ratio': 1.03}"
27,AXP,1.665115703164984,"{'r1': 6, 'ad': 5, 'limad': 13, 'wmean': 12, 'mc_ratio': 1.08}"
28,AIG,1.2705147593377168,"{'r1': 11, 'ad': 14, 'limad': 3, 'wmean': 10, 'mc_ratio': 1.01}"
29,AMT,1.5396498639952545,"{'r1': 9, 'ad': 29, 'limad': 15, 'wmean': 4, 'mc_ratio': 1.33}"
30,AWK,1.0903484840051931,"{'r1': 12, 'ad': 16, 'limad': 10, 'wmean': 6, 'mc_ratio': 1.05}"
31,AMP,1.400994124112704,"{'r1': 12, 'ad': 6, 'limad': 9, 'wmean': 12, 'mc_ratio': 1.06}"
32,AME,1.3468004011539396,"{'r1': 13, 'ad': 8, 'limad': 18, 'wmean': 9, 'mc_ratio': 1.06}"
33,AMGN,1.6839434524417767,"{'r1': 7, 'ad': 28, 'limad': 3, 'wmean': 9, 'mc_ratio': 1.08}"
34,APH,1.5088171198288693,"{'r1': 5, 'ad': 6, 'limad': 14, 'wmean': 12, 'mc_ratio': 1.06}"
35,ADI,1.545634210596782,"{'r1': 6, 'ad': 8, 'limad': 15, 'wmean': 8, 'mc_ratio': 1.02}"
36,ANSS,1.2619525715263127,"{'r1': 5, 'ad': 16, 'limad': 12, 'wmean': 9, 'mc_ratio': 1.25}"
37,AON,1.433182385994877,"{'r1': 6, 'ad': 11, 'limad': 12, 'wmean': 8, 'mc_ratio': 1.03}"
38,APA,1.3735756727808563,"{'r1': 5, 'ad': 26, 'limad': 17, 'wmean': 6, 'mc_ratio': 1.02}"
39,AAPL,1.2790032144584231,"{'r1': 15, 'ad': 17, 'limad': 16, 'wmean': 12, 'mc_ratio': 1.24}"
40,AMAT,1.6530923535791961,"{'r1': 13, 'ad': 9, 'limad': 18, 'wmean': 5, 'mc_ratio': 1.03}"
41,APTV,1.3305781987350795,"{'r1': 7, 'ad': 22, 'limad': 20, 'wmean': 11, 'mc_ratio': 1.06}"
42,ACGL,1.7308780420286276,"{'r1': 6, 'ad': 5, 'limad': 9, 'wmean': 12, 'mc_ratio': 1.06}"
